Date,Time,10cm_1,15cm_1,20cm_1,30cm_1,40cm_1,50cm_1,60cm_1,70cm_1,10cm_2,15cm_2,20cm_2,30cm_2,40cm_2,50cm_2,60cm_2,70cm_2
2021/7/6,21,19.5,20,21,20,18,16.5,15.5,15,19,20.5,21,20,18,16.5,15.5,15
2021/7/6,21.5,18.5,19.5,20.5,20,18,16.5,15.5,15,18,19.5,20.5,19.5,18,16.5,15.5,15
2021/7/6,22,17.5,18.5,20,19.5,18,17,15.5,15,17,19,20,19.5,18,16.5,15.5,15
2021/7/6,22.5,16.5,18,19.5,19.5,18,17,15.5,15,16.5,18,19.5,19,18,16.5,15.5,15
2021/7/6,23,16,17.5,19,19,18,17,15.5,15,16,17.5,19,19,18,16.5,15.5,15
2021/7/6,23.5,15.5,17,18.5,19,18,17,15.5,15,15,17,18.5,18.5,18,16.5,15.5,15
2021/7/7,0,15,16.5,18,18.5,18,16.5,15.5,15,15,16.5,18,18.5,18,16.5,15.5,15
2021/7/7,0.5,15,16,17.5,18.5,18,17,15.5,15,14.5,16,17.5,18,18,16.5,15.5,15
2021/7/7,1,14.5,15.5,17.5,18,17.5,16.5,15.5,15,14,16,17.5,18,17.5,16.5,15.5,15
2021/7/7,1.5,14,15.5,17,18,17.5,16.5,15.5,15,14,15.5,17,17.5,17.5,16.5,15.5,15
2021/7/7,2,14,15,16.5,17.5,17.5,16.5,15.5,15,13.5,15.5,16.5,17.5,17.5,16.5,15.5,15
2021/7/7,2.5,13.5,14.5,16.5,17.5,17.5,16.5,15.5,15,13,15,16.5,17.5,17.5,16.5,15.5,15
2021/7/7,3,13,14.5,16,17,17.5,16.5,15.5,15,13,14.5,16,17,17.5,16.5,15.5,15
2021/7/7,3.5,12.5,14,16,17,17,16.5,15.5,15,12.5,14.5,16,17,17,16.5,15.5,15
2021/7/7,4,12.5,13.5,15.5,17,17,16.5,15.5,15,12,14,15.5,16.5,17,16,15.5,15
2021/7/7,4.5,12,13.5,15.5,16.5,17,16.5,15.5,15,11.5,13.5,15.5,16.5,17,16,15.5,15
2021/7/7,5,11.5,13,15,16.5,17,16.5,15.5,15,11.5,13.5,15,16.5,17,16,15.5,15
2021/7/7,5.5,11.5,13,15,16,16.5,16.5,15.5,15,11,13,15,16,17,16,15.5,15
2021/7/7,6,11,12.5,14.5,16,16.5,16.5,15.5,15,11,13,14.5,16,16.5,16,15.5,15
2021/7/7,6.5,11,12.5,14.5,16,16.5,16,15.5,15,10.5,12.5,14.5,16,16.5,16,15.5,15
2021/7/7,7,10.5,12,14,15.5,16.5,16,15.5,15,10.5,12.5,14,15.5,16.5,16,15.5,15
2021/7/7,7.5,10.5,12,14,15.5,16,16,15.5,15,10.5,12,14,15.5,16.5,16,15.5,15
2021/7/7,8,11,12,13.5,15,16,16,15.5,15,10.5,12,13.5,15,16,16,15.5,15
2021/7/7,8.5,11.5,12,13.5,15,16,16,15.5,15,11,12,13.5,15,16,15.5,15.5,15
2021/7/7,9,13,12.5,13.5,15,16,16,15,15,11.5,12.5,13.5,15,16,15.5,15.5,15
2021/7/7,9.5,14,13.5,13.5,15,15.5,16,15,15,12.5,13,13.5,15,16,15.5,15,15
2021/7/7,10,16,14,14,14.5,15.5,15.5,15,15,14,13.5,13.5,14.5,16,15.5,15,15
2021/7/7,10.5,17.5,15.5,14,14.5,15.5,15.5,15,15,15.5,14.5,14,14.5,15.5,15.5,15,15
2021/7/7,11,19,16.5,14.5,14.5,15.5,15.5,15,15,17.5,15.5,14.5,14.5,15.5,15.5,15,15
