DOY,Tb,YEAR,POP,TIME
193,14.57158208,2020,2600m,19
193,14.55954357,2020,2600m,20
193,14.54692929,2020,2600m,21
193,14.53358337,2020,2600m,22
193,14.51939318,2020,2600m,23
194,14.33935317,2020,2600m,12
194,14.34333691,2020,2600m,13
194,14.35100288,2020,2600m,14
194,14.36177035,2020,2600m,15
194,14.37497553,2020,2600m,16
194,14.38993908,2020,2600m,17
194,14.40601631,2020,2600m,18
194,14.42262922,2020,2600m,19
194,14.43928038,2020,2600m,20
194,14.45555441,2020,2600m,21
194,14.47111114,2020,2600m,22
194,14.48567418,2020,2600m,23
195,14.56996177,2020,2600m,12
195,14.57294656,2020,2600m,13
195,14.57574343,2020,2600m,14
195,14.57824263,2020,2600m,15
195,14.58032633,2020,2600m,16
195,14.58188185,2020,2600m,17
195,14.58280863,2020,2600m,18
195,14.58302062,2020,2600m,19
195,14.58244603,2020,2600m,20
195,14.58102494,2020,2600m,21
195,14.57870667,2020,2600m,22
195,14.5754463,2020,2600m,23
196,14.48955275,2020,2600m,12
196,14.4897283,2020,2600m,13
196,14.49184939,2020,2600m,14
196,14.49564177,2020,2600m,15
196,14.50075062,2020,2600m,16
196,14.5067864,2020,2600m,17
196,14.51336159,2020,2600m,18
196,14.52011707,2020,2600m,19
196,14.52673484,2020,2600m,20
196,14.5329421,2020,2600m,21
196,14.53851152,2020,2600m,22
196,14.5432573,2020,2600m,23
197,14.54631853,2020,2600m,12
197,14.55023447,2020,2600m,13
197,14.55527429,2020,2600m,14
197,14.5612305,2020,2600m,15
197,14.56786128,2020,2600m,16
197,14.57491695,2020,2600m,17
197,14.58215865,2020,2600m,18
197,14.58936916,2020,2600m,19
197,14.59635728,2020,2600m,20
197,14.60295995,2020,2600m,21
197,14.60904252,2020,2600m,22
197,14.61449632,2020,2600m,23
198,14.64542307,2020,2600m,12
198,14.65446465,2020,2600m,13
198,14.66565442,2020,2600m,14
198,14.67869417,2020,2600m,15
198,14.6931681,2020,2600m,16
198,14.70860327,2020,2600m,17
198,14.72451937,2020,2600m,18
198,14.74046355,2020,2600m,19
198,14.75602955,2020,2600m,20
198,14.77086688,2020,2600m,21
198,14.78468461,2020,2600m,22
198,14.7972501,2020,2600m,23
199,14.87199882,2020,2600m,12
199,14.88431413,2020,2600m,13
199,14.89919968,2020,2600m,14
199,14.91629723,2020,2600m,15
199,14.93513736,2020,2600m,16
199,14.95521201,2020,2600m,17
199,14.9760237,2020,2600m,18
199,14.99711458,2020,2600m,19
199,15.01808309,2020,2600m,20
199,15.03857176,2020,2600m,21
199,15.05827883,2020,2600m,22
199,15.07695048,2020,2600m,23
200,15.22254722,2020,2600m,12
200,15.23496062,2020,2600m,13
200,15.24843585,2020,2600m,14
200,15.26274476,2020,2600m,15
200,15.27755957,2020,2600m,16
200,15.29248842,2020,2600m,17
200,15.30711806,2020,2600m,18
200,15.32103406,2020,2600m,19
200,15.33385956,2020,2600m,20
200,15.34526637,2020,2600m,21
200,15.35496902,2020,2600m,22
200,15.36274712,2020,2600m,23
201,15.3332606,2020,2600m,12
201,15.33610864,2020,2600m,13
201,15.34092879,2020,2600m,14
201,15.34732673,2020,2600m,15
201,15.35484713,2020,2600m,16
201,15.36302203,2020,2600m,17
201,15.37140225,2020,2600m,18
201,15.37957891,2020,2600m,19
201,15.38719674,2020,2600m,20
201,15.39395936,2020,2600m,21
201,15.39962858,2020,2600m,22
201,15.40401951,2020,2600m,23
202,15.35905082,2020,2600m,12
202,15.35467076,2020,2600m,13
202,15.35071445,2020,2600m,14
202,15.34702802,2020,2600m,15
202,15.34343382,2020,2600m,16
202,15.33975388,2020,2600m,17
202,15.33582109,2020,2600m,18
202,15.33148084,2020,2600m,19
202,15.32658957,2020,2600m,20
202,15.32101836,2020,2600m,21
202,15.31465888,2020,2600m,22
202,15.30742538,2020,2600m,23
203,15.15287682,2020,2600m,12
203,15.14273128,2020,2600m,13
203,15.1337197,2020,2600m,14
203,15.12577848,2020,2600m,15
203,15.11875831,2020,2600m,16
203,15.11244688,2020,2600m,17
203,15.10659342,2020,2600m,18
203,15.10093214,2020,2600m,19
203,15.09520049,2020,2600m,20
203,15.08915222,2020,2600m,21
203,15.08256619,2020,2600m,22
203,15.0752508,2020,2600m,23
204,14.92576221,2020,2600m,12
204,14.91745953,2020,2600m,13
204,14.91018386,2020,2600m,14
204,14.90377233,2020,2600m,15
204,14.89803008,2020,2600m,16
204,14.89275225,2020,2600m,17
204,14.88774113,2020,2600m,18
204,14.88281815,2020,2600m,19
204,14.87783019,2020,2600m,20
204,14.8726454,2020,2600m,21
204,14.86715812,2020,2600m,22
204,14.86128596,2020,2600m,23
205,14.75593496,2020,2600m,12
205,14.74872978,2020,2600m,13
205,14.74193845,2020,2600m,14
205,14.73550061,2020,2600m,15
205,14.72933365,2020,2600m,16
205,14.72334121,2020,2600m,17
205,14.71742161,2020,2600m,18
205,14.71147454,2020,2600m,19
205,14.70540584,2020,2600m,20
205,14.69913099,2020,2600m,21
205,14.69257831,2020,2600m,22
205,14.68568764,2020,2600m,23
206,14.57171959,2020,2600m,12
206,14.56436719,2020,2600m,13
206,14.5577139,2020,2600m,14
206,14.5517566,2020,2600m,15
206,14.54644397,2020,2600m,16
206,14.54168541,2020,2600m,17
206,14.53736467,2020,2600m,18
206,14.53335317,2020,2600m,19
206,14.5295239,2020,2600m,20
206,14.52575328,2020,2600m,21
206,14.52192863,2020,2600m,22
206,14.51794887,2020,2600m,23
207,14.48059038,2020,2600m,12
207,14.48855995,2020,2600m,13
207,14.49879698,2020,2600m,14
207,14.5109342,2020,2600m,15
207,14.52452224,2020,2600m,16
207,14.53907474,2020,2600m,17
207,14.55410226,2020,2600m,18
207,14.5691375,2020,2600m,19
207,14.58375262,2020,2600m,20
207,14.59757016,2020,2600m,21
207,14.61026764,2020,2600m,22
207,14.62157685,2020,2600m,23
208,14.67966378,2020,2600m,12
208,14.69394025,2020,2600m,13
208,14.71114358,2020,2600m,14
208,14.7308351,2020,2600m,15
208,14.75244156,2020,2600m,16
208,14.77532495,2020,2600m,17
208,14.79884582,2020,2600m,18
208,14.82240908,2020,2600m,19
208,14.84548514,2020,2600m,20
208,14.8676155,2020,2600m,21
208,14.88841414,2020,2600m,22
208,14.90756585,2020,2600m,23
209,15.02366731,2020,2600m,12
209,15.03263252,2020,2600m,13
209,15.04247062,2020,2600m,14
209,15.05293924,2020,2600m,15
209,15.06372367,2020,2600m,16
209,15.0744861,2020,2600m,17
209,15.08490214,2020,2600m,18
209,15.09468343,2020,2600m,19
209,15.10358673,2020,2600m,20
209,15.11141268,2020,2600m,21
209,15.11799801,2020,2600m,22
209,15.12320529,2020,2600m,23
210,15.09810147,2020,2600m,12
210,15.09921496,2020,2600m,13
210,15.10148161,2020,2600m,14
210,15.10463757,2020,2600m,15
210,15.10838465,2020,2600m,16
210,15.11242053,2020,2600m,17
210,15.1164589,2020,2600m,18
210,15.12024285,2020,2600m,19
210,15.1235506,2020,2600m,20
210,15.12619396,2020,2600m,21
210,15.12801175,2020,2600m,22
210,15.12886427,2020,2600m,23
211,15.09478226,2020,2600m,12
211,15.09931395,2020,2600m,13
211,15.10537706,2020,2600m,14
211,15.11263471,2020,2600m,15
211,15.12071228,2020,2600m,16
211,15.12923489,2020,2600m,17
211,15.13785174,2020,2600m,18
211,15.14624581,2020,2600m,19
211,15.15413278,2020,2600m,20
211,15.1612589,2020,2600m,21
211,15.16740142,2020,2600m,22
211,15.17236973,2020,2600m,23
212,15.17820544,2020,2600m,12
212,15.18894038,2020,2600m,13
212,15.20210314,2020,2600m,14
212,15.21719086,2020,2600m,15
212,15.23363171,2020,2600m,16
212,15.25084412,2020,2600m,17
212,15.26827676,2020,2600m,18
212,15.28543404,2020,2600m,19
212,15.30188736,2020,2600m,20
212,15.31727759,2020,2600m,21
212,15.33131403,2020,2600m,22
212,15.34377351,2020,2600m,23
213,15.39583078,2020,2600m,12
213,15.40044081,2020,2600m,13
213,15.40561321,2020,2600m,14
213,15.41110364,2020,2600m,15
213,15.41663908,2020,2600m,16
213,15.42195082,2020,2600m,17
213,15.42679752,2020,2600m,18
213,15.43097387,2020,2600m,19
213,15.4343094,2020,2600m,20
213,15.43666518,2020,2600m,21
213,15.43792864,2020,2600m,22
213,15.4380032,2020,2600m,23
214,15.38910876,2020,2600m,12
214,15.39964678,2020,2600m,13
214,15.41378043,2020,2600m,14
214,15.43086768,2020,2600m,15
214,15.45014506,2020,2600m,16
214,15.47082051,2020,2600m,17
214,15.49213912,2020,2600m,18
214,15.51342249,2020,2600m,19
214,15.53408463,2020,2600m,20
214,15.55363495,2020,2600m,21
214,15.57167181,2020,2600m,22
214,15.58787927,2020,2600m,23
215,15.63358297,2020,2600m,12
215,15.63244716,2020,2600m,13
215,15.63159379,2020,2600m,14
215,15.63097216,2020,2600m,15
215,15.6304801,2020,2600m,16
215,15.62998249,2020,2600m,17
215,15.62932947,2020,2600m,18
215,15.62836888,2020,2600m,19
215,15.62695598,2020,2600m,20
215,15.62496035,2020,2600m,21
215,15.62226568,2020,2600m,22
215,15.61876361,2020,2600m,23
216,15.50001624,2020,2600m,12
216,15.48883222,2020,2600m,13
216,15.47764024,2020,2600m,14
216,15.46636955,2020,2600m,15
216,15.45493516,2020,2600m,16
216,15.44324489,2020,2600m,17
216,15.43120982,2020,2600m,18
216,15.41875065,2020,2600m,19
216,15.40579747,2020,2600m,20
216,15.39229992,2020,2600m,21
216,15.37822565,2020,2600m,22
216,15.36355951,2020,2600m,23
217,15.15056593,2020,2600m,12
217,15.13954055,2020,2600m,13
217,15.1303424,2020,2600m,14
217,15.12290823,2020,2600m,15
217,15.1170605,2020,2600m,16
